domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.abc.net.au,-0.012572658272063034,0.2741378286220787,0.5493753793604984,0.23649298602881685,21.0
economictimes.indiatimes.com,-0.008416305916305922,0.16198840579871446,0.538800505050505,0.14593726370796575,11.0
www.cbc.ca,0.09730540293040293,0.17103939941399643,0.48243704212454214,0.21390215745859048,8.0
www.independent.ie,0.015535714285714288,0.1589444919497496,0.34952380952380946,0.18609464509011786,7.0
bringatrailer.com,-0.027212602212602206,0.08872907121183583,0.25501443001443,0.1244587176107927,6.0
dailycaller.com,-0.188,0.2356386121915412,0.5326666666666666,0.28314111126590025,5.0
www.nature.com,0.01806666666666667,0.10461607057341726,0.3062666666666667,0.14815708630444316,5.0
timesofindia.indiatimes.com,0.08848484848484847,0.2505122163157238,0.45411616161616164,0.14476607812529146,5.0
www.yahoo.com,0.11383333333333334,0.1947983287630797,0.5545,0.22591757346430577,5.0
financialpost.com,-0.03812121212121211,0.2778850812031295,0.4618181818181818,0.1564897176540873,5.0
indianexpress.com,-0.05159090909090909,0.21270455503318236,0.4144191919191919,0.17230270047139637,5.0
wattsupwiththat.com,-0.010416666666666664,0.20131224595232744,0.41874999999999996,0.39154762440994323,4.0
www.cbsnews.com,0.14970238095238098,0.33456175997804494,0.6827380952380953,0.11830522485617065,4.0
www.channelnewsasia.com,0.003511363636363632,0.28983688624245496,0.5287045454545455,0.12809127201703535,4.0
www.insurancejournal.com,-0.008314393939393948,0.07987311963055141,0.3890909090909091,0.10240840233740127,4.0
journals.plos.org,0.035476190476190474,0.06069086071602547,0.5187003968253968,0.3371180785824982,4.0
www.theatlantic.com,0.17632575757575758,0.13666545582791345,0.4051136363636364,0.3023637713828708,4.0
www.rte.ie,-0.009375000000000001,0.3877519342311525,0.45,0.13540064007726602,4.0
biztoc.com,-0.05,0.1,0.1875,0.19311050377094113,4.0
www.bbc.com,0.16666666666666666,0.2886751345948129,0.16666666666666666,0.2886751345948129,3.0
www.globalresearch.ca,-0.005887445887445886,0.10851009447368185,0.2611688311688312,0.05631435244332913,3.0
www.globenewswire.com,0.09166666666666667,0.114564392373896,0.35833333333333334,0.12610621625351295,3.0
theconversation.com,-0.09212962962962963,0.17730151772982772,0.3287962962962963,0.09601646485178333,3.0
consent.yahoo.com,0.08222222222222221,0.19047698412533068,0.24444444444444444,0.2501851166488378,3.0
www.naturalnews.com,0.10454545454545455,0.04178358252465962,0.45056818181818187,0.21132850392279778,2.0
press.un.org,0.06805555555555554,0.1865976228131167,0.3006944444444445,0.0932988114065584,2.0
statetimes.in,-0.01363636363636362,0.12535074757397888,0.773989898989899,0.08392428968628218,2.0
www.nbcnews.com,0.0012500000000000067,0.0017677669529663784,0.8,0.0,2.0
variety.com,0.11879208754208755,0.084846861665103,0.5116372053872054,0.01431474586492956,2.0
fortune.com,0.14500000000000002,0.2050609665440988,0.26,0.36769552621700474,2.0
www.mensjournal.com,-0.07899999999999999,0.026870057685088815,0.469,0.2701147904132611,2.0
www.sciencedaily.com,-0.027604166666666666,0.12742653452632574,0.49375,0.16793786053180507,2.0
www.lifesciencesworld.com,0.0405952380952381,0.1163359013809296,0.6645238095238095,0.11482067256410122,2.0
www.businessinsider.com,0.08437500000000002,0.26074562556253944,0.396875,0.20771261697354831,2.0
www.irishtimes.com,-0.175,0.0,0.4375,0.0,2.0
archiveofourown.org,-0.037499999999999985,0.05303300858899104,0.24513888888888888,0.34667874133173787,2.0
www.resilience.org,0.21750000000000003,0.024748737341529155,0.775,0.31819805153394637,2.0
